,Name,Postal_Code,Coordinates,Venue Type
0,Adam Road Food Centre,289876,"[1.32415985259558, 103.814165924136]",Hawker Centre
1,Amoy Street Food Centre,069111,"[1.2792184895752, 103.846606863139]",Hawker Centre
2,Bedok Food Centre,469572,"[1.32035408352354, 103.955471871163]",Hawker Centre
3,Beo Crescent Market,169982,"[1.2888400791879, 103.827400817412]",Hawker Centre
4,Berseh Food Centre,208877,"[1.30733653724361, 103.85685398594]",Hawker Centre
5,REPUBLIC HOTELS & RESORTS LIMITED,169663,"[1.29028193417518, 103.835147954372]",Eating Establishment
6,REPUBLIC HOTELS & RESORTS LIMITED,169663,"[1.29028193417518, 103.835147954372]",Eating Establishment
7,M.K. RAMA PTE LTD,208279,"[1.30811201835075, 103.854139684225]",Eating Establishment
8,GRAND PARK PROPERTY PTE. LTD.,179809,"[1.29262894681757, 103.85012392484]",Eating Establishment
9,MILLENIA PRIVATE LIMITED,038982,"[1.29352504746137, 103.858774748555]",Eating Establishment
10,COLD STORAGE SINGAPORE (1983) PTE LTD,530982,"[1.3808503546459, 103.879309094304]",Super Market
11,COLD STORAGE SINGAPORE (1983) PTE LTD,538719,"[1.37931783471773, 103.887847089168]",Super Market
12,U STARS SUPERMARKET PTE. LTD.,540330,"[1.3968497990014, 103.889246755784]",Super Market
13,NTUC Fairprice Co-operative Ltd,538692,"[1.37566728348409, 103.87945025083]",Super Market
14,SHENG SIONG SUPERMARKET PTE LTD,554913,"[1.37563500157221, 103.871996419103]",Super Market
15,SAINT ELMO'S CHILD CARE,530926,"[1.37607145439608, 103.88092440132]",Preschool Centre
16,Alora Infant Care (Leng Kee) Pte Ltd,159049,"[1.28978712200723, 103.814448344993]",Preschool Centre
17,LEAP KIDS PRESCHOOL @ WOODLANDS PTE LTD,737853,"[1.43488097187658, 103.802836665616]",Preschool Centre
18,MY WORLD PRESCHOOL LTD.,510575,"[1.37318924489331, 103.946360527843]",Preschool Centre
19,KIDDIWINKIE SCHOOLHOUSE @ UPPER BUKIT TIMAH,597925,"[1.34250233144236, 103.773914825309]",Preschool Centre
20,A.M. Pharmacy Pte Ltd,238841,"[1.30126533034758, 103.841151770727]",Pharmacies
21,ALPS PHARMACY,498787,"[1.3757619652438, 104.00251365545]",Pharmacies
22,Admiralty Medical Centre Pharmacy,730676,"[1.43974951798078, 103.800720711621]",Pharmacies
23,Airport Pharmacy,819665,"[1.33844020337151, 103.983679103078]",Pharmacies
24,Alchemy Pharmacy,510258,"[1.36700054076336, 103.96461777629]",Pharmacies
25,ADMIRALTY PRIMARY SCHOOL,738907,"[1.44267961678133, 103.800114351557]",School
26,ADMIRALTY SECONDARY SCHOOL,737916,"[1.44589068910993, 103.802398196596]",School
27,AHMAD IBRAHIM PRIMARY SCHOOL,768643,"[1.43368120674913, 103.832924289687]",School
28,AHMAD IBRAHIM SECONDARY SCHOOL,768928,"[1.43623514612253, 103.82998645047]",School
29,AI TONG SCHOOL,579646,"[1.36073636488519, 103.833075654586]",School
