,Name,Postal_Code,Coordinates,Venue Type
0,Adam Road Food Centre,289876,"[1.32415985259558, 103.814165924136]",Hawker Centre
1,Amoy Street Food Centre,069111,"[1.2792184895752, 103.846606863139]",Hawker Centre
2,Bedok Food Centre,469572,"[1.32035408352354, 103.955471871163]",Hawker Centre
3,Beo Crescent Market,169982,"[1.2888400791879, 103.827400817412]",Hawker Centre
4,Berseh Food Centre,208877,"[1.30733653724361, 103.85685398594]",Hawker Centre
5,Bukit Timah Market,588215,"[1.33960974933939, 103.776088853304]",Hawker Centre
6,Chomp Chomp Food Centre,557269,"[1.36422380359954, 103.86656947065]",Hawker Centre
7,Commonwealth Crescent Market,149644,"[1.30699534116093, 103.800356458268]",Hawker Centre
8,Dunman Food Centre,424768,"[1.30940349816347, 103.901850168193]",Hawker Centre
9,East Coast Lagoon Food Village,468960,"[1.30689467825616, 103.93512071816]",Hawker Centre
10,Geylang Serai Market,402001,"[1.31673634902959, 103.898227885294]",Hawker Centre
11,Golden Mile Food Centre,199583,"[1.30287553881161, 103.863883266692]",Hawker Centre
12,Holland Village Market & Food Centre,277700,"[1.31114896408012, 103.794833802029]",Hawker Centre
13,Kallang Estate Market,397972,"[1.30739617296811, 103.884130182605]",Hawker Centre
14,Maxwell Food Centre,069184,"[1.28033024426042, 103.844733511515]",Hawker Centre
15,Newton Food Centre,229495,"[1.31218586731501, 103.839412495407]",Hawker Centre
16,North Bridge Road Market & Food Centre,198783,"[1.30574697597951, 103.863954429077]",Hawker Centre
17,Pasir Panjang Food Centre,118543,"[1.27569879325348, 103.791619964293]",Hawker Centre
18,Serangoon Garden Market,555945,"[1.36273680777483, 103.866162163042]",Hawker Centre
19,Sembawang Hill Food Centre,574419,"[1.37238497911778, 103.828994212687]",Hawker Centre
20,Taman Jurong Market & Food Centre,618499,"[1.33458938786304, 103.721519916812]",Hawker Centre
21,Tanglin Halt Market,148813,"[1.30055807077531, 103.797719379651]",Hawker Centre
