,Name,Postal_Code,Coordinates,Venue Type,District
0,100 AM,None,"[1.27458821795426, 103.84347073661]",Shopping Mall,JALAN BESAR
1,313@Somerset,None,"[1.30138510214714, 103.837684350436]",Shopping Mall,TANJONG PAGAR
2,Aperia,None,"[1.30974242032355, 103.864101647509]",Shopping Mall,JALAN BESAR
3,Balestier Hill Shopping Centre,None,"[1.3257612790349, 103.843054082553]",Shopping Mall,JALAN BESAR
4,Bugis Cube,None,"[1.29819500487878, 103.855655544739]",Shopping Mall,JALAN BESAR
5,Bugis Junction,None,"[1.29901677414964, 103.855482356252]",Shopping Mall,JALAN BESAR
6,Bugis+,None,"[1.30095171530648, 103.855172625542]",Shopping Mall,JALAN BESAR
7,Capitol Piazza,None,"[1.29306335877347, 103.851293463737]",Shopping Mall,JALAN BESAR
8,Cathay Cineleisure Orchard,None,"[1.30149743442985, 103.836444792111]",Shopping Mall,TANJONG PAGAR
10,The Centrepoint,None,"[1.3019303071384, 103.839813213648]",Shopping Mall,TANJONG PAGAR
11,City Square Mall,None,"[1.31147744952234, 103.856780762986]",Shopping Mall,JALAN BESAR
13,CityLink Mall,None,"[1.29237860670957, 103.854662968868]",Shopping Mall,JALAN BESAR
14,Duo,None,"[1.29953434891664, 103.85840168774]",Shopping Mall,JALAN BESAR
15,Far East Plaza,None,"[1.30724675116163, 103.833664932875]",Shopping Mall,TANJONG PAGAR
16,Funan,None,"[1.29124400604241, 103.849984790048]",Shopping Mall,JALAN BESAR
17,Great World City,None,"[1.2931549290701, 103.831928020443]",Shopping Mall,TANJONG PAGAR
18,HDB Hub,None,"[1.3319945640368, 103.849796100473]",Shopping Mall,BISHAN-TOA PAYOH
20,ION Orchard,None,"[1.30404253406976, 103.831888294023]",Shopping Mall,TANJONG PAGAR
21,Junction 8,None,"[1.35068626255041, 103.848949711733]",Shopping Mall,BISHAN-TOA PAYOH
23,Liat Towers,None,"[1.30510759038418, 103.830727915062]",Shopping Mall,TANJONG PAGAR
24,Lucky Plaza,None,"[1.3044637897474, 103.834005158524]",Shopping Mall,TANJONG PAGAR
25,Marina Bay Sands,None,"[1.28399410139205, 103.859450636919]",Shopping Mall,JALAN BESAR
26,The Shoppes at Marina Bay Sands,None,"[1.28367214668306, 103.858811937302]",Shopping Mall,JALAN BESAR
27,Marina Bay Financial Centre Tower 3,None,"[1.27912493489912, 103.854457600432]",Shopping Mall,JALAN BESAR
28,Marina Bay Link Mall,None,"[1.28046794331672, 103.85347014858]",Shopping Mall,JALAN BESAR
29,Marina One,None,"[1.27803242230386, 103.852883150355]",Shopping Mall,JALAN BESAR
30,Marina Square,None,"[1.29103980256765, 103.857623532359]",Shopping Mall,JALAN BESAR
31,Millenia Walk,None,"[1.29204605302049, 103.859900233499]",Shopping Mall,JALAN BESAR
33,Ngee Ann City,None,"[1.30242417216784, 103.834676124451]",Shopping Mall,TANJONG PAGAR
34,Orchard Central,None,"[1.30072350356704, 103.839692368177]",Shopping Mall,TANJONG PAGAR
35,Orchard Gateway,None,"[1.30044325279546, 103.839442780042]",Shopping Mall,TANJONG PAGAR
36,Orchard Plaza,None,"[1.30126533034758, 103.841151770727]",Shopping Mall,TANJONG PAGAR
37,Midpoint Orchard,None,"[1.30178378195546, 103.838660627347]",Shopping Mall,TANJONG PAGAR
38,Palais Renaissance,None,"[1.30665484543191, 103.829588045188]",Shopping Mall,TANJONG PAGAR
39,People's Park Centre,None,"[1.28579209527994, 103.843868384078]",Shopping Mall,JALAN BESAR
40,People's Park Complex,None,"[1.28412862636416, 103.842584810783]",Shopping Mall,JALAN BESAR
41,Plaza Singapura,None,"[1.30082071769235, 103.845067272666]",Shopping Mall,TANJONG PAGAR
43,Raffles City,None,"[1.29389357863312, 103.853119904656]",Shopping Mall,JALAN BESAR
44,Scotts Square,None,"[1.30576292435884, 103.83308338186]",Shopping Mall,TANJONG PAGAR
45,Serangoon Plaza,None,"[1.31078075190145, 103.855146819671]",Shopping Mall,JALAN BESAR
47,Sim Lim Square,None,"[1.30302298515261, 103.852875622062]",Shopping Mall,JALAN BESAR
48,Singapore Shopping Centre,None,"[1.29813214766933, 103.844138374809]",Shopping Mall,TANJONG PAGAR
49,The South Beach,None,"[1.29498804392056, 103.856276242094]",Shopping Mall,JALAN BESAR
50,Square 2,None,"[1.32061258625866, 103.844331494859]",Shopping Mall,JALAN BESAR
51,Sunshine Plaza,None,"[1.30039433798822, 103.850892323466]",Shopping Mall,JALAN BESAR
52,Suntec City,None,"[1.29546675589675, 103.858585026016]",Shopping Mall,JALAN BESAR
53,Tanglin Mall,None,"[1.30485342129478, 103.823883490852]",Shopping Mall,TANJONG PAGAR
54,Tangs,None,"[1.30495005564842, 103.832971130126]",Shopping Mall,TANJONG PAGAR
55,Tanjong Pagar Centre,None,"[1.27660952826927, 103.846180785876]",Shopping Mall,JALAN BESAR
56,Tekka Centre,None,"[1.30617773048079, 103.850609985486]",Shopping Mall,TANJONG PAGAR
57,The Paragon,None,"[1.30394936355298, 103.835844227627]",Shopping Mall,TANJONG PAGAR
58,Tiong Bahru Plaza,None,"[1.28647119992725, 103.827158267789]",Shopping Mall,TANJONG PAGAR
60,Thomson Plaza,None,"[1.35465019298911, 103.830944960934]",Shopping Mall,BISHAN-TOA PAYOH
61,United Square,None,"[1.31751171429199, 103.843628771215]",Shopping Mall,TANJONG PAGAR
63,Wheelock Place,None,"[1.3045363597328, 103.830714231109]",Shopping Mall,TANJONG PAGAR
64,Wisma Atria,None,"[1.30369890679412, 103.833189592785]",Shopping Mall,TANJONG PAGAR
65,Zhongshan Mall,None,"[1.32694504456951, 103.846554377679]",Shopping Mall,JALAN BESAR
66,Century Square,None,"[1.35236113143548, 103.943784812431]",Shopping Mall,TAMPINES
67,Tampines 1,None,"[1.35264348783407, 103.942894547542]",Shopping Mall,TAMPINES
68,Tampines Mall,None,"[1.35258025197038, 103.944696230083]",Shopping Mall,TAMPINES
69,Our Tampines Hub,None,"[1.35310120216271, 103.940848647333]",Shopping Mall,TAMPINES
70,Changi Airport,None,"[1.34580556425439, 103.982913693484]",Shopping Mall,EAST COAST
71,Changi City Point,None,"[1.33403637902708, 103.962917615531]",Shopping Mall,EAST COAST
72,Downtown East,None,"[1.37777584209542, 103.95477359289]",Shopping Mall,PASIR RIS-PUNGGOL
73,Djitsun Mall Bedok,None,"[1.32605319910571, 103.929604640137]",Shopping Mall,EAST COAST
74,Eastpoint Mall,None,"[1.3425864408894, 103.953072338954]",Shopping Mall,EAST COAST
75,Bedok Mall,None,"[1.32466897396909, 103.92940545649]",Shopping Mall,EAST COAST
76,Bedok Point,None,"[1.32480102552267, 103.932384005117]",Shopping Mall,EAST COAST
77,Paya Lebar Square,None,"[1.31867575623015, 103.892550598424]",Shopping Mall,MACPHERSON
81,Katong Shopping Centre,None,"[1.30382040183737, 103.901040040135]",Shopping Mall,MOUNTBATTEN
82,Roxy Square,None,"[1.30433308408718, 103.904060346056]",Shopping Mall,MARINE PARADE
83,i12 Katong,None,"[1.30522306203042, 103.905043928938]",Shopping Mall,MARINE PARADE
84,Parkway Parade,None,"[1.30108003311455, 103.90528181445]",Shopping Mall,MARINE PARADE
85,White Sands,None,"[1.37239898072243, 103.949749226457]",Shopping Mall,PASIR RIS-PUNGGOL
86,City Plaza,None,"[1.31480522272254, 103.893418325845]",Shopping Mall,MARINE PARADE
87,Katong Square,None,"[1.30511658648128, 103.904298449329]",Shopping Mall,MARINE PARADE
88,Katong V,None,"[1.30385030375719, 103.902850370889]",Shopping Mall,MARINE PARADE
89,Kallang Wave Mall,None,"[1.30384327182319, 103.872750701661]",Shopping Mall,MOUNTBATTEN
90,Leisure Park Kallang,None,"[1.30233745290722, 103.876449175952]",Shopping Mall,MOUNTBATTEN
91,Elias Mall,None,"[1.3779094539485, 103.942281483161]",Shopping Mall,PASIR RIS-PUNGGOL
92,Loyang Point,None,"[1.36700054076336, 103.96461777629]",Shopping Mall,PASIR RIS-PUNGGOL
93,Jewel Changi Airport,None,"[1.36033174518933, 103.989670344538]",Shopping Mall,EAST COAST
94,888 Plaza,None,"[1.43713052444868, 103.795289911954]",Shopping Mall,MARSILING-YEW TEE
95,Admiralty Place,None,"[1.4398809549057, 103.801791019595]",Shopping Mall,SEMBAWANG
96,AMK Hub,None,"[1.36922321403001, 103.848467911464]",Shopping Mall,ANG MO KIO
97,Canberra Plaza,None,"[1.44324523168314, 103.83052345616]",Shopping Mall,SEMBAWANG
98,Causeway Point,None,"[1.43608867729912, 103.786009973678]",Shopping Mall,MARSILING-YEW TEE
99,Woodlands Civic Centre,None,"[1.43510773240045, 103.78693533379]",Shopping Mall,MARSILING-YEW TEE
100,Broadway Plaza,None,"[1.37193646369426, 103.845973776855]",Shopping Mall,ANG MO KIO
101,Djitsun Mall,None,"[1.32605319910571, 103.929604640137]",Shopping Mall,EAST COAST
102,Jubilee Square,None,"[1.37178558575829, 103.847837565378]",Shopping Mall,ANG MO KIO
103,Junction 9,None,"[1.43303198215119, 103.841600823354]",Shopping Mall,NEE SOON
104,Marsiling Mall,None,"[1.43351253520759, 103.779746860157]",Shopping Mall,MARSILING-YEW TEE
105,Northpoint City,None,"[1.42811357691004, 103.836063081819]",Shopping Mall,NEE SOON
106,Sembawang Shopping Centre,None,"[1.4418532534675, 103.824832416105]",Shopping Mall,SEMBAWANG
107,Sun Plaza,None,"[1.44822653818275, 103.819462102812]",Shopping Mall,SEMBAWANG
108,Vista Point,None,"[1.43075765633744, 103.793852610387]",Shopping Mall,SEMBAWANG
109,Wisteria Mall,None,"[1.41799926284039, 103.841236456898]",Shopping Mall,NEE SOON
110,Woodlands Mart,None,"[1.44564787003157, 103.798162285533]",Shopping Mall,SEMBAWANG
111,Woodlands North Plaza,None,"[1.4428457006918, 103.790825824274]",Shopping Mall,SEMBAWANG
112,Waterway Point,None,"[1.40642616289949, 103.902238067127]",Shopping Mall,PASIR RIS-PUNGGOL
113,Compass One,None,"[1.39209415594052, 103.894980025383]",Shopping Mall,SENGKANG
114,Hougang Mall,None,"[1.37243678271743, 103.893723857613]",Shopping Mall,ALJUNIED
115,Heartland Mall,None,"[1.35954450890401, 103.885169070198]",Shopping Mall,ALJUNIED
116,NEX,None,"[1.3506755212032, 103.871861615443]",Shopping Mall,MARINE PARADE
117,Greenwich V,None,"[1.38760330190633, 103.869423629864]",Shopping Mall,ANG MO KIO
118,Hougang 1,None,"[1.37566728348409, 103.87945025083]",Shopping Mall,ANG MO KIO
119,Hougang Green Shopping Mall,None,"[1.37931783471773, 103.887847089168]",Shopping Mall,ANG MO KIO
120,myVillage At Serangoon Garden,None,"[1.36516071264446, 103.865041851733]",Shopping Mall,ALJUNIED
121,Oasis Terraces,None,"[1.40263460056252, 103.913270565628]",Shopping Mall,PASIR RIS-PUNGGOL
122,Punggol Plaza,None,"[1.39418409438271, 103.912976437583]",Shopping Mall,PASIR RIS-PUNGGOL
123,Rivervale Mall,None,"[1.39221732667769, 103.904473070943]",Shopping Mall,SENGKANG
124,Rivervale Plaza,None,"[1.385371516087, 103.901849634797]",Shopping Mall,SENGKANG
125,The Seletar Mall,None,"[1.39139306126893, 103.87606765513]",Shopping Mall,ANG MO KIO
126,Buangkok Square,None,"[1.3840286792222, 103.882006815341]",Shopping Mall,ANG MO KIO
127,The Midtown,None,"[1.37047940965108, 103.895128466923]",Shopping Mall,ALJUNIED
128,Upper Serangoon Shopping Centre,None,"[1.35348088326122, 103.878828409594]",Shopping Mall,ALJUNIED
129,Beauty World Centre,None,"[1.34241264188643, 103.776539385678]",Shopping Mall,JURONG
130,Beauty World Plaza,None,"[1.34178799847019, 103.776304121109]",Shopping Mall,JURONG
131,Bukit Panjang Plaza,None,"[1.37991650665222, 103.764317068535]",Shopping Mall,HOLLAND-BUKIT TIMAH
132,Bukit Timah Plaza,None,"[1.33865677622928, 103.778560467143]",Shopping Mall,JURONG
133,Fajar Shopping Centre,None,"[1.38358020252976, 103.770774778244]",Shopping Mall,BUKIT PANJANG
